!!NAME	NICK NAME
KRISTEL	KRIS
KRISTINE	KISSY
KRISTINE	KRIS
KRISTINE	KRISSY
KRISTOPHER	CHRISTOPHER
KRISTOPHER	CHRIS
LAFAYETTE	FATE
LAFAYETTE	FAYETTE
LAFAYETTE	LEFT
LAFAYETTE	LEFFIE
LAFAYETTE	LEFFY
LAODICIA	DICY
LAODICIA	CENIA
LAUREN	LAURIE
LAUREN	REN
LAURINDA	LAURA
LAURYN	LAURIE
LAVEDA	VEDA
LAVERNE	VERNA
LAVINIA	VINA
LAVINIA	VINEY
LAVINIA	VONNIE
LAVINIA	WYNCHA
LAVONIA	VINA
LAVONIA	VINEY
LAVONIA	VONNIE
LAVONIA	WYNCHA
LOUVINIA	VINA
LOUVINIA	VINEY
LOUVINIA	VONNIE
LOUVINIA	WYNCHA
LAWRENCE	LARRY
LAWRENCE	LARS
LAWRENCE	LAURENCE
LAWRENCE	LAWRIE
LAWRENCE	LON
LAWRENCE	LORRY
LEANNE	ANNIE
LEANNE	LEA
LECURGUS	CURG
!! LEE	NAMES WITH "LE"
LEMUEL	LEM
!! LENA	NAMES ENDING WITH "LEEN/LINA"
LEONARD	LEO
LEONARD	LEON
LEONIDAS	LEE
LEONIDAS	LEON
LEONORE	ELENOR
LEONORA	ELENOR
LEONORA	HONOR
LEONORA	NORA
LEROY	LEE
LEROY	ROY
LESLIE	LES
LESLIE	LESTER
LETITIA	LETTIE
LETITIA	LETTICE
LETITIA	TITIA
LETITIA	TISH
LEVICY	VICY
LEVONE	VON
LAVONNE	VON
LILLIAN	LIL
LILLIAN	LILA
LILLIAN	LILLY
LILLIAN	LOLLY
LILLIAN	ODIE
!! LINA	NAMES ENDING WITH "LENA/LINA"
LINCOLN	LINK
LIONEL	LEON
LITTLEBERRY	BERRY
LITTLEBERRY	L.B.
LITTLEBERRY	LITTLE
LOIS	HELOISE
LOIS	LOUISE
LORETTA	ETTA
LORETTA	LAURA
LORETTA	LORRIE
LORETTA	RETTA
LORINDA	LAURA
LAURINDA	LAURA
LORRAINE	LORRIE
LOTTA	CHARLOTTE
LOTTA	CHARLOTTA
LOTTY	CHARLOTTE
LOTTY	CHARLOTTA
LOUIS	LEWIS
LOUIS	LOU
LOUIS	LOUIE
LOUISE	ELIZA
LOUISE	ELOISE
LOUISE	ISSIE
LOUISE	LOIS
LOUISE	LOU
LOUISE	LULU
LOUVENIA	VINA
LOUVENIA	VINY
LAVINIA	VINA
LAVINIA	VINY
LUCIA	LUCY
LUCIAS	LUCAS
LUCIAS	LUKE
LUCILLE	CEALL
LUCILLE	CILLE
LUCILLE	LUCY
LUCINA	SINAH
LUCINDA	CINDY
LUCINDA	LUCY
LUCRETIA	CREASEY
LUELLA	ELLA
LUNETTA	NETTIE
LURANA	LURA
!! LYNN	NAMES ENDING WITH "LENE/LINA/LYN"
MABEL	AMABEL
MABEL	MEHITABEL
!! MAC, MACK	ANY NAME STARTING WITH MAC/MC
MACKENZIE	KENZY
MACKENZIE	MAC
MACKENZIE	MACK
MADELINE	LENA
MADELINE	MADDIE
MADELINE	MADGE
MADELINE	MAGGIE
MADELINE	MAUD
MADELINE	MIDDY
MADISON	MADDY
MADISON	MATTIE
MAGDALENA	LENA
MAGDALENA	MAGGIE
MAHALA	HALEY
MAHALA	HULDAH
MALACHI	MALLY
MALCOLM	MAC
MALCOLM	MAL
MALCOLM	MALC
MALINDA	LINDY
MALISSA	ELIZABETH
MALISSA	MISSA
MELISSA	ELIZABETH
MELISSA	MISSA
MANERVA	EVE
MANERVA	MINERVA
MANERVA	NERVA
MANERVA	NERVIE
MANOAH	NOAH
MANOLA	NONNIE
MANUEL	EMANUEL
MANUEL	MANNY
MARCUS	MARK
MARGARET	DAISY
MARGARET	GRETA
MARGARET	MADGE
